model,cümle_1,cümle_2,benzerlik_skoru
lemmatized_model_7.model,Bir kimseyi kasten öldüren kişi ağır hapis cezası ile cezalandırılır.,Bir kimseyi kasten yaralayan kişi beş yıla kadar hapis cezasına çarptırılır.,0.9788469
lemmatized_model_7.model,Bir kimseyi kasten öldüren kişi ağır hapis cezası ile cezalandırılır.,Kasten öldürme suçunu işleyen kişi müebbet hapis cezası ile cezalandırılır.,0.9752673
lemmatized_model_7.model,Bir kimseyi kasten öldüren kişi ağır hapis cezası ile cezalandırılır.,Bir kişiye sürekli işkence yapan kişi on yıla kadar hapis cezası ile cezalandırılır.,0.97250617
lemmatized_model_7.model,Kasten öldürme suçunu işleyen kişi müebbet hapis cezası ile cezalandırılır.,Bir kimseyi kasten öldüren kişi ağır hapis cezası ile cezalandırılır.,0.9752673
lemmatized_model_7.model,Kasten öldürme suçunu işleyen kişi müebbet hapis cezası ile cezalandırılır.,Kasten yaralama suçunu işleyen kişi iki yıldan beş yıla kadar hapis cezası ile cezalandırılır.,0.97066927
lemmatized_model_7.model,Kasten öldürme suçunu işleyen kişi müebbet hapis cezası ile cezalandırılır.,Suç işlemeye tahrik eden kişi hapis cezası ile cezalandırılır.,0.96780586
lemmatized_model_7.model,Bir kimseyi kasten yaralayan kişi beş yıla kadar hapis cezasına çarptırılır.,Kasten yaralama suçunu işleyen kişi iki yıldan beş yıla kadar hapis cezası ile cezalandırılır.,0.9826997
lemmatized_model_7.model,Bir kimseyi kasten yaralayan kişi beş yıla kadar hapis cezasına çarptırılır.,Bir kişiye sürekli işkence yapan kişi on yıla kadar hapis cezası ile cezalandırılır.,0.9810841
lemmatized_model_7.model,Bir kimseyi kasten yaralayan kişi beş yıla kadar hapis cezasına çarptırılır.,Bir kimseyi kasten öldüren kişi ağır hapis cezası ile cezalandırılır.,0.9788469
lemmatized_model_7.model,Kasten yaralama suçunu işleyen kişi iki yıldan beş yıla kadar hapis cezası ile cezalandırılır.,Bir kimseyi kasten yaralayan kişi beş yıla kadar hapis cezasına çarptırılır.,0.9826997
lemmatized_model_7.model,Kasten yaralama suçunu işleyen kişi iki yıldan beş yıla kadar hapis cezası ile cezalandırılır.,Adam kaçıran kişi iki yıldan altı yıla kadar hapis cezasına çarptırılır.,0.98235273
lemmatized_model_7.model,Kasten yaralama suçunu işleyen kişi iki yıldan beş yıla kadar hapis cezası ile cezalandırılır.,İftira eden kişi altı aydan iki yıla kadar hapis cezası ile cezalandırılır.,0.97929096
lemmatized_model_7.model,Başkasına ait eşyayı gizlice alan kişi hırsızlık suçu işlemiş olur.,"Zilyetliğinde bulunmayan malı, sahibinin rızası dışında almak suretiyle hırsızlık suçunu işleyen kişi cezalandırılır.",0.89847887
lemmatized_model_7.model,Başkasına ait eşyayı gizlice alan kişi hırsızlık suçu işlemiş olur.,Kapkaç suretiyle mal çalan kişi hırsızlık cezası alır.,0.88749504
lemmatized_model_7.model,Başkasına ait eşyayı gizlice alan kişi hırsızlık suçu işlemiş olur.,Özel hayatın gizliliğini ihlal eden kişi hakkında ceza verilir.,0.81277657
lemmatized_model_7.model,"Zilyetliğinde bulunmayan malı, sahibinin rızası dışında almak suretiyle hırsızlık suçunu işleyen kişi cezalandırılır.",Kapkaç suretiyle mal çalan kişi hırsızlık cezası alır.,0.94424945
lemmatized_model_7.model,"Zilyetliğinde bulunmayan malı, sahibinin rızası dışında almak suretiyle hırsızlık suçunu işleyen kişi cezalandırılır.",Başkasına ait eşyayı gizlice alan kişi hırsızlık suçu işlemiş olur.,0.89847887
lemmatized_model_7.model,"Zilyetliğinde bulunmayan malı, sahibinin rızası dışında almak suretiyle hırsızlık suçunu işleyen kişi cezalandırılır.","Azmettiren, asli fail gibi cezalandırılır.",0.86410344
lemmatized_model_7.model,Dolandırıcılık yapan kişi iki seneye kadar hapis cezasına çarptırılır.,Adam kaçıran kişi iki yıldan altı yıla kadar hapis cezasına çarptırılır.,0.9867321
lemmatized_model_7.model,Dolandırıcılık yapan kişi iki seneye kadar hapis cezasına çarptırılır.,İftira eden kişi altı aydan iki yıla kadar hapis cezası ile cezalandırılır.,0.98479724
lemmatized_model_7.model,Dolandırıcılık yapan kişi iki seneye kadar hapis cezasına çarptırılır.,Bir kişiye sürekli işkence yapan kişi on yıla kadar hapis cezası ile cezalandırılır.,0.98289573
lemmatized_model_7.model,Hileli davranışlarla bir kimseyi aldatarak kendisine veya başkasına yarar sağlayan kişi dolandırıcılık suçunu işlemiş olur.,Kadınların aldatılarak fuhşa zorlanması cezalandırılır.,0.91036946
lemmatized_model_7.model,Hileli davranışlarla bir kimseyi aldatarak kendisine veya başkasına yarar sağlayan kişi dolandırıcılık suçunu işlemiş olur.,Haksız yere bir kimseyi suçlamak amacıyla iftira atan kişi cezalandırılır.,0.88444555
lemmatized_model_7.model,Hileli davranışlarla bir kimseyi aldatarak kendisine veya başkasına yarar sağlayan kişi dolandırıcılık suçunu işlemiş olur.,Bir kimsenin hürriyetinden yoksun bırakılması suçu işlendiğinde fail cezalandırılır.,0.861047
lemmatized_model_7.model,Çocuğunu terk eden ana veya baba iki aya kadar hapis cezası ile cezalandırılır.,İftira eden kişi altı aydan iki yıla kadar hapis cezası ile cezalandırılır.,0.9728701
lemmatized_model_7.model,Çocuğunu terk eden ana veya baba iki aya kadar hapis cezası ile cezalandırılır.,Adam kaçıran kişi iki yıldan altı yıla kadar hapis cezasına çarptırılır.,0.96611375
lemmatized_model_7.model,Çocuğunu terk eden ana veya baba iki aya kadar hapis cezası ile cezalandırılır.,Dolandırıcılık yapan kişi iki seneye kadar hapis cezasına çarptırılır.,0.9558193
lemmatized_model_7.model,Aile hukukundan doğan yükümlülükleri ihlal eden kişi cezalandırılır.,Aile bireyine kötü muamele eden kişi cezalandırılır.,0.9384582
lemmatized_model_7.model,Aile hukukundan doğan yükümlülükleri ihlal eden kişi cezalandırılır.,Cezaevi disiplin kurallarını ihlal eden kişi cezalandırılır.,0.92058414
lemmatized_model_7.model,Aile hukukundan doğan yükümlülükleri ihlal eden kişi cezalandırılır.,Özel hayatın gizliliğini ihlal eden kişi cezalandırılır.,0.8910198
lemmatized_model_7.model,Bir kişiye sürekli işkence yapan kişi on yıla kadar hapis cezası ile cezalandırılır.,Dolandırıcılık yapan kişi iki seneye kadar hapis cezasına çarptırılır.,0.98289573
lemmatized_model_7.model,Bir kişiye sürekli işkence yapan kişi on yıla kadar hapis cezası ile cezalandırılır.,Bir kimseyi kasten yaralayan kişi beş yıla kadar hapis cezasına çarptırılır.,0.9810841
lemmatized_model_7.model,Bir kişiye sürekli işkence yapan kişi on yıla kadar hapis cezası ile cezalandırılır.,Bir kimseyi kasten öldüren kişi ağır hapis cezası ile cezalandırılır.,0.97250617
lemmatized_model_7.model,Bir kimseye insan onuruyla bağdaşmayacak biçimde işkence eden kişi cezalandırılır.,Bir kişiye hakaret eden fail cezalandırılır.,0.9430204
lemmatized_model_7.model,Bir kimseye insan onuruyla bağdaşmayacak biçimde işkence eden kişi cezalandırılır.,Kasten yangın çıkaran kişi cezalandırılır.,0.9211356
lemmatized_model_7.model,Bir kimseye insan onuruyla bağdaşmayacak biçimde işkence eden kişi cezalandırılır.,Bir kimseyi kasten öldüren kişi ağır hapis cezası ile cezalandırılır.,0.9022661
lemmatized_model_7.model,Adam kaçıran kişi iki yıldan altı yıla kadar hapis cezasına çarptırılır.,İftira eden kişi altı aydan iki yıla kadar hapis cezası ile cezalandırılır.,0.99386245
lemmatized_model_7.model,Adam kaçıran kişi iki yıldan altı yıla kadar hapis cezasına çarptırılır.,Dolandırıcılık yapan kişi iki seneye kadar hapis cezasına çarptırılır.,0.9867321
lemmatized_model_7.model,Adam kaçıran kişi iki yıldan altı yıla kadar hapis cezasına çarptırılır.,Kasten yaralama suçunu işleyen kişi iki yıldan beş yıla kadar hapis cezası ile cezalandırılır.,0.98235273
lemmatized_model_7.model,Bir kimsenin hürriyetinden yoksun bırakılması suçu işlendiğinde fail cezalandırılır.,Kişiyi hürriyetinden yoksun bırakma suçu işlenmiş olur.,0.97039455
lemmatized_model_7.model,Bir kimsenin hürriyetinden yoksun bırakılması suçu işlendiğinde fail cezalandırılır.,Hukuka aykırı olarak bir kişiyi hürriyetinden yoksun bırakan kişi cezalandırılır.,0.9543409
lemmatized_model_7.model,Bir kimsenin hürriyetinden yoksun bırakılması suçu işlendiğinde fail cezalandırılır.,Bir kimseye insan onuruyla bağdaşmayacak biçimde işkence eden kişi cezalandırılır.,0.89974016
lemmatized_model_7.model,Genel ahlaka aykırı davranan kimseye idarî para cezası verilir.,Genel ahlaka aykırı yayın yapan kişi cezalandırılır.,0.9426317
lemmatized_model_7.model,Genel ahlaka aykırı davranan kimseye idarî para cezası verilir.,Tanığın gerçeğe aykırı ifade vermesi durumunda ceza verilir.,0.87050855
lemmatized_model_7.model,Genel ahlaka aykırı davranan kimseye idarî para cezası verilir.,İmar mevzuatına aykırı inşaat yapan kişi cezalandırılır.,0.86329293
